field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1790,1201-3,1201,Blvd Solidaridad Y Maria Jesus Tanori,29.151898,-110.996848,2,1201,1701,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.996848 29.151898)
1791,1201-5,1201,Blvd Solidaridad Y Bv Abelardo B Sobarzo,29.146504,-110.996702,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.996702 29.146504)
1792,402-125,402,BLVS SOLIDARIDAD Y BLVD  PROGRESO,29.143801,-110.995184,3,402,1201,1703,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.995184 29.143801)
1793,1201-7,1201,Blvd Solidaridad Y Calle  Margarita Maza De Juarez,29.144137,-110.992887,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.992887 29.144137)
1794,1201-8,1201,Blvd Solidaridad Y Carlos Caturegli,29.144685,-110.988685,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.988685 29.144685)
1795,1201-12,1201,Calle T Lopez Del Castillo Y Suaqui Grande,29.139345,-110.986287,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.986287 29.139345)
1796,1201-18,1201,Calle T Lopez Del Castillo Y Av Leandro Valle,29.13094,-110.984996,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984996 29.13094)
1797,1201-19,1201,Calle T Lopez Del Castillo Y Av Sebastian Lerdo De Tejeda,29.129054,-110.984687,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984687 29.129054)
1798,1201-20,1201,Calle T Lopez Del Castillo Y Av Ignacio Manuel Altamirano,29.128144,-110.984539,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.984539 29.128144)
1799,1201-23,1201,Calle T Lopez Del Castillo Y Blvd Jose Lopez Portillo,29.12395,-110.983858,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.983858 29.12395)
1800,1201-24,1201,Blvd Jose Lopez Portillo Y Olivares,29.123586,-110.98221,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.98221 29.123586)
1801,1201-25,1201,Blvd Jose Lopez Portillo Y Calle Arizona,29.124025,-110.97798,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97798 29.124025)
1802,1201-26,1201,Blvd Jose Lopez Portillo Y Calle Francisco Monteverde,29.124336,-110.974843,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.974843 29.124336)
1803,1201-27,1201,Blvd Jose Lopez Portillo Y Calle Guadalupe Victoria,29.12478,-110.97042,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97042 29.12478)
1804,1201-28,1201,Heroes De Caborca Y Av 6 De Abril,29.12477,-110.967131,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.967131 29.12477)
1805,1201-29,1201,Heroes De Caborca Y Av Plan De Agua Prieta,29.122682,-110.966782,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.966782 29.122682)
1806,1201-30,1201,Heroes De Caborca Y Av Ley Federal Del Trabajo,29.120378,-110.966424,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.966424 29.120378)
1807,1201-32,1201,Av Ley Federal Del Trabajo Y Calle Israel Gonzalez,29.12091,-110.960811,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.960811 29.12091)
1808,1201-33,1201,Av Ley Federal Del Trabajo Y Calle Tres,29.121101,-110.959269,2,1201,700,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.959269 29.121101)
1809,1201-34,1201,Calle Tres  Y Av 12,29.119499,-110.958871,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.958871 29.119499)
1810,1201-35,1201,Calle Tres  Y Av Nueve,29.118096,-110.958634,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.958634 29.118096)
1811,1201-36,1201,Calle Tres  Y Av Cinco,29.116163,-110.958321,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.958321 29.116163)
1812,1201-37,1201,Calle Tres  Y Av Uno,29.11421,-110.958027,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.958027 29.11421)
1813,1201-38,1201,Calle Tres Y Av Angel Garcia Aburto,29.112034,-110.957663,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.957663 29.112034)
1814,1201-39,1201,Calle Benitojuarez Y Av Roberto Romero,29.111972,-110.953124,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.953124 29.111972)
1815,1201-40,1201,Calle Benito Juarez Y Av Luis Orci,29.110064,-110.953107,4,1201,1400,1702,1902,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.953107 29.110064)
1816,1201-43,1201,Calle Benito Juarez Y Av Francisco Zarco,29.102032,-110.953089,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.953089 29.102032)
1817,1201-44,1201,Blvd Jose Maria Morelos Y Jose Maria Mata,29.099287,-110.951324,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.951324 29.099287)
1818,1201-47,1201,Heriberto Aja Y Fray Hermenegildo Rangel Lugo,29.090216,-110.950622,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.950622 29.090216)
1819,1201-49,1201,Heriberto Aja Y Av Puebla,29.085959,-110.949513,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.949513 29.085959)
1820,1201-63,1201,Blvd Agustin De Vildosola Y Antonio Ruiz,29.051779,-110.956127,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.956127 29.051779)
1821,1201-68,1201,Blvd Manuel J Clouthier  Y De Los Labradores,29.034164,-110.959423,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.959423 29.034164)
1822,1201-69,1201,De Los Labradores Y Gildardo Magaña,29.034269,-110.962205,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.962205 29.034269)
1823,1201-70,1201,Labaradores Y 7 De Noviembre,29.035433,-110.966247,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.966247 29.035433)
1824,1201-71,1201,Labradores Y Lauro Galvez,29.035718,-110.968662,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.968662 29.035718)
1825,1201-72,1201,Labradores Y Benito Juarez,29.036013,-110.970966,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.970966 29.036013)
1826,1201-73,1201,Blvd Coyote Iguana Y Calle Pitahaya Madura,29.036557,-110.97377,1,1201,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97377 29.036557)
